編號,歌手/團體名稱,類別標籤,別名/譯名,相關團體,合唱組合,歌庫已收錄曲數
1453,翼星家族,Solo / Group,,,,0
1454,紳士合唱團,Solo / Group,,,,0
1455,全國高中生大合唱,Solo / Group,,,,0
1456,Happy 543合唱團,Solo / Group,,,,0
1457,友愛合唱團,Solo / Group,,,,0
1458,陳零九 & 邱鋒澤 Feng Ze,Indie / Global,,,,0
1459,JC 陳詠桐,Indie / Global,,,,0
1460,陳嫺靜,Indie / Global,,,,0
1461,李杰明 & 陳忻玥,Indie / Global,,,,0
1462,陳奕迅 & 王菲,Indie / Global,,,,0
1463,小潘潘 & 小峯峯(陳峯),Indie / Global,,,,0
1464,陳雪凝,Indie / Global,,,,0
1465,黃明志 & 陳芳語,Indie / Global,,,,0
1466,陳零九,Indie / Global,,,,0
1467,陳勢安 & 畢書盡,Indie / Global,,,,0
1468,林芯儀,Indie / Global,,,,0
1469,JOLIN蔡依林,Indie / Global,,,,0
1470,R3HAB & JOLIN蔡依林,Indie / Global,,,,0
1471,Luis Fonsi,Indie / Global,,,,0
1472,阿肆 & 林宥嘉,Indie / Global,,,,0
1473,紀露霞,Solo / Group,,,,0
1474,劉燕燕,Solo / Group,,,,0
1475,古慧慧,Solo / Group,,,,0
1476,王紹博,Solo / Group,,,,0
1477,亞旺,Solo / Group,,,,0
1478,施韋瑄+施福珍,Solo / Group,,,,0
1479,美空ひばり,Solo / Group,,,,0
1480,游振雄,Solo / Group,,,,0
1481,天愛合唱團,Solo / Group,,,,0
1482,張振華,Solo / Group,,,,0
1483,連敏旭,Solo / Group,,,,0
1484,沒離開過,Solo / Group,,,,0
1485,青山,Solo / Group,,,,0
1486,張琍敏,Solo / Group,,,,0
1487,許飛,Solo / Group,,,,0
1488,馬蕊,Solo / Group,,,,0
1489,林風,Solo / Group,,,,0
1490,穆姝丹,Solo / Group,,,,0
1491,陳芬蘭,Solo / Group,,,,0
1492,甄秀珍,Solo / Group,,,,0
1493,伍佰+China Blue,Solo / Group,,,,18
1494,紫薇,Solo / Group,,,,0
1495,銀霞,Solo / Group,,,,0
1496,江美琪,Solo / Group,,,,0
1497,黃奇斌,Indie / Global,,,,0
1498,卓文萱 & 黃鴻升,Indie / Global,,,,0
1499,蔡豫,Indie / Global,,,,0
1500,黃霄雲,Indie / Global,,,,0
1501,黃挺瑋,Indie / Global,,,,0
1502,"黃鴻升, 柯有倫 & 竇智孔",Indie / Global,,,,0
1503,YELLOW黃宣 & 9m88,Indie / Global,,,,0
1504,黃明志 & 鄧紫棋,Indie / Global,,,,0
1505,黃美珍,Indie / Global,,,,0
1506,范宗沛 & 黃雅詩,Indie / Global,,,,0
1507,YELLOW黃宣,Indie / Global,,,,0
1508,黃雅詩 & 范宗沛,Indie / Global,,,,0
1509,謝欣芷 & 黃靜雅,Indie / Global,,,,0
1510,翁立友 & 黃思婷,Indie / Global,,,,0
1511,黃玠瑋 & 吳青峰,Indie / Global,,,,0
1512,黃慧音,Indie / Global,,,,0
1513,四堅情WOLF (邱鋒澤、陳零九、黃偉晉、賴晏駒),Indie / Global,,,,0
1514,邱鋒澤 Feng Ze & 黃偉晉,Indie / Global,,,,0
1515,蛋堡 & 黃玠,Indie / Global,,,,0
1516,蔡黃汝,Indie / Global,,,,0
1517,李素專,Solo / Group,,,,0
1518,洪安妮,Solo / Group,,,,0
1519,張秀卿+柯俊傑,Solo / Group,,,,0
1520,張良,Solo / Group,,,,0
1521,王萊,Solo / Group,,,,0
1522,陳雙,Solo / Group,,,,0
1523,晨光,Solo / Group,,,,0
1524,石喬+石琇惠,Solo / Group,,,,0
1525,黃燦,Solo / Group,,,,0
1526,張燕清+陳淑萍,Solo / Group,,,,0
1527,羅一良,Solo / Group,,,,0
1528,黃三元,Solo / Group,,,,0
1529,蘇錦煌,Solo / Group,,,,0
1530,蔡啟東,Solo / Group,,,,0
1531,健安,Solo / Group,,,,0
1532,王孟麗,Solo / Group,,,,0
1533,陳蘭麗,Solo / Group,,,,0
1534,文夏,Solo / Group,,,,0
1535,唐飛,Solo / Group,,,,0
1536,林英美,Solo / Group,,,,0
1537,楊黎蘇,Solo / Group,,,,0
1538,王芷蕾,Solo / Group,,,,0
1539,玉如,Solo / Group,,,,0
1540,于櫻櫻,Solo / Group,,,,0
1541,Uu,Solo / Group,,,,0
1542,周傳雄+陸虎,Solo / Group,,,,0
1543,李飄飄,Solo / Group,,,,0
1544,王蓉,Solo / Group,,,,0
1545,CT GIRLS,Solo / Group,,,,0
1546,余潤澤,Solo / Group,,,,0
1547,中央樂團,Solo / Group,,,,0
1548,徐小鳳,Solo / Group,,,,0
1549,涂敏恆,Solo / Group,,,,0
1550,閃靈樂團,Solo / Group,,,,0
1551,謝雷,Solo / Group,,,,0
1552,張遠,Indie / Global,,,,0
1553,張紫豪,Indie / Global,,,,0
1554,張妙格,Indie / Global,,,,0
1555,潘瑋柏 & 張韶涵,Indie / Global,,,,0
1556,青鳥飛魚,Solo / Group,,,,0
1557,董育君,Solo / Group,,,,0
1558,李壽全,Solo / Group,,,,0
1559,劉劭希,Solo / Group,,,,0
1560,徐芷頎,Solo / Group,,,,0
1561,彭兆宏,Solo / Group,,,,0
1562,周雅芳,Solo / Group,,,,0
1563,林添一,Solo / Group,,,,0
1564,李宛書,Solo / Group,,,,0
1565,莊長明,Solo / Group,,,,0
1566,郎軍,Solo / Group,,,,0
1567,石喬,Solo / Group,,,,0
1568,川中美幸+吉幾三,Solo / Group,,,,0
1569,葉振棠,Solo / Group,,,,0
1570,天孿兄弟,Solo / Group,,,,0
1571,張星唯,Solo / Group,,,,0
1572,李麗芬,Indie / Global,,,,0
1573,李佳薇,Indie / Global,,,,0
1574,李宗盛,Indie / Global,,,,0
1575,李泳知,Indie / Global,,,,0
1576,李友廷,Indie / Global,,,,0
1577,TIA LEE 李毓芬,Indie / Global,,,,0
1578,BSS,Indie / Global,,,,0
1579,李芷婷,Indie / Global,,,,0
1580,李遐怡,Indie / Global,,,,0
1581,李炎欣,Solo / Group,,,,0
1582,廖偉志,Solo / Group,,,,0
1583,唐銘良,Solo / Group,,,,0
1584,徐譽滕,Solo / Group,,,,0
1585,林靜莉,Solo / Group,,,,0
1586,王樾安,Indie / Global,,,,0
1587,王貳浪,Indie / Global,,,,0
1588,王大文,Indie / Global,,,,0
1589,蘇星婕 & 王忻辰,Indie / Global,,,,0
1590,王藍茵,Indie / Global,,,,0
1591,9m88,Indie / Global,,,,0
1592,王俊凱 & JOLIN蔡依林,Indie / Global,,,,0
1593,王以太,Indie / Global,,,,0
1594,王以太 & 劉至佳,Indie / Global,,,,0
1595,王唯樂,Indie / Global,,,,0
1596,群星,Solo / Group,,,,0
1597,薛之謙+張靚穎,Solo / Group,,,,2
1598,林俊吉,Solo / Group,,,,0
1599,陳雪燃,Solo / Group,,,,0
1600,富博洋+莊心妍,Solo / Group,,,,0
1601,Asiaboy 禁藥王,Solo / Group,,,,0
1602,王宏恩,Solo / Group,,,,0
1603,賈乃亮+甜馨,Solo / Group,,,,0
1604,謝和弦+高爾宣+李杰明,Solo / Group,,,,0
1605,村田英雄,Solo / Group,,,,0
1606,白雲合唱團,Solo / Group,,,,0
1607,左政,Solo / Group,,,,0
1608,小木馬合唱團,Solo / Group,,,,0
1609,廖偉志+余秀娟,Solo / Group,,,,0
1610,阿錡+程安,Solo / Group,,,,0
1611,李沛綾,Solo / Group,,,,0
1612,五月天+孫燕姿,Solo / Group,,,,0
1613,越頭看,Solo / Group,,,,0
1614,劉福助,Solo / Group,,,,0
1615,章小軍,Solo / Group,,,,0
1616,尚雯婕,Solo / Group,,,,0
1617,葉復台,Solo / Group,,,,0
1618,汪洪萍,Solo / Group,,,,0
1619,邱蘭芬,Solo / Group,,,,0
1620,絲襪小姐,Solo / Group,,,,0
1621,袁惟仁,Solo / Group,,,,0
1622,吳申梅,Indie / Global,,,,0
1623,"林正, 鄭宇伶 & 吳順涵",Indie / Global,,,,0
1624,吳卓源,Indie / Global,,,,0
1625,"李友廷, 吳霏 & 楊碧琪",Indie / Global,,,,0
1626,吳卓源 & 婁峻碩,Indie / Global,,,,0
1627,"周杰倫, 言承旭, 吳建豪, 周渝民 & 五月天 阿信",Indie / Global,,,,0
1628,邱鋒澤 Feng Ze,Indie / Global,,,,0
1629,吳亦凡,Indie / Global,,,,0
1630,劉至佳 & 韓瞳,Indie / Global,,,,0
1631,劉力揚,Indie / Global,,,,0
1632,劉明湘,Indie / Global,,,,0
1633,劉人語,Indie / Global,,,,0
1634,攬佬SKAI ISYOURGOD & AR劉夫陽,Indie / Global,,,,0
1635,劉大壯,Indie / Global,,,,0
1636,劉憲華,Indie / Global,,,,0
1637,"盛宇, 劉聰 & ICE楊長青",Indie / Global,,,,0
1638,劉思涵,Indie / Global,,,,0
1639,"K/DA, Madison Beer & i-dle",Indie / Global,,,,0
1640,劉兆宇 & 阿YueYue,Indie / Global,,,,0
1641,h3R3 劉清雲,Indie / Global,,,,0
1642,Yu Jae Seok & EXO,Indie / Global,,,,0
1643,Corki刘宗鑫,Indie / Global,,,,0
1644,劉瑞琦,Indie / Global,,,,0
1645,Aioz & 劉思达,Indie / Global,,,,0
1646,劉柏辛Lexie,Indie / Global,,,,0
1647,劉畊宏,Indie / Global,,,,0
1648,劉聰 & Kafe.Hu,Indie / Global,,,,0
1649,"盛宇, VAVA, 劉聰 & 万妮達",Indie / Global,,,,0
1650,劉芷融,Indie / Global,,,,0
1651,新地+盧克,Solo / Group,,,,0
1652,蔡恩雨 Priscilla Abby,Indie / Global,,,,0
1653,孫燕姿 & 蔡健雅,Indie / Global,,,,0
1654,陳星翰,Indie / Global,,,,0
1655,蔡義德,Solo / Group,,,,0
1656,楊世暄,Indie / Global,,,,0
1657,楊凱琳,Indie / Global,,,,0
1658,楊宗緯,Indie / Global,,,,1
1659,永彬Ryan.B & AY杨佬叁,Indie / Global,,,,0
1660,楊博然,Indie / Global,,,,0
1661,士心,Solo / Group,,,,0
1662,洪小喬,Solo / Group,,,,0
1663,龐龍,Solo / Group,,,,0
1664,閻維文,Solo / Group,,,,0
1665,金波,Solo / Group,,,,0
1666,許嵩,Indie / Global,,,,0
1667,許光漢,Indie / Global,,,,0
1668,許維芳 & 謝嘉全,Indie / Global,,,,0
1669,單依純,Indie / Global,,,,0
1670,周興哲,Indie / Global,,,,0
1671,蘇星婕 & 一隻白羊,Indie / Global,,,,0
1672,許惠鈞,Indie / Global,,,,0
1673,4s4ki,Indie / Global,,,,0
1674,"鄭中基, 張學友 & 許志安",Indie / Global,,,,0
1675,許莉潔 & 安懂,Indie / Global,,,,0
1676,莫文蔚+MC HotDog,Solo / Group,,,,0
1677,霓虹花園,Solo / Group,,,,0
1678,四個朋友-蘭馨,Solo / Group,,,,0
1679,趙默,Solo / Group,,,,0
1680,任健耀,Solo / Group,,,,0
1681,黃秀美,Solo / Group,,,,0
1682,古巨基+梁詠琪,Solo / Group,,,,0
1683,呂方,Solo / Group,,,,0
1684,張鎬哲,Solo / Group,,,,0
1685,劉曉超,Solo / Group,,,,0
1686,王鍵,Solo / Group,,,,0
1687,基地小虎,Solo / Group,,,,0
1688,陳淑樺,Solo / Group,,,,0
1689,李睽,Solo / Group,,,,0
1690,鍾鎮濤+章蓉舫,Solo / Group,,,,0
1691,李曉兵,Solo / Group,,,,0
1692,丁于,Solo / Group,,,,0
1693,合唱,Solo / Group,,,,0
1694,孫豪,Solo / Group,,,,0
1695,マルシア,Solo / Group,,,,0
1696,林慧萍,Solo / Group,,,,0
1697,Linda,Solo / Group,,,,0
1698,鄧福如+黃磊,Solo / Group,,,,0
1699,冰鑫,Solo / Group,,,,0
1700,歡子,Solo / Group,,,,0
1701,美黛,Solo / Group,,,,0
1702,袁成杰+戚薇,Solo / Group,,,,0
1703,鄭潤澤,Indie / Global,,,,0
1704,鄭中基 & 陳慧琳,Indie / Global,,,,0
1705,張學友 & 鄭中基,Indie / Global,,,,0
1706,鄭興,Indie / Global,,,,0
1707,鄭茵聲,Indie / Global,,,,0
1708,鄭基高 & SoYou,Indie / Global,,,,0
1709,徐仁國 & 鄭恩地,Indie / Global,,,,0
1710,鄭宜農,Indie / Global,,,,0
1711,ZICO,Indie / Global,,,,0
1712,鄭沐晴,Indie / Global,,,,0
1713,鄭恩地,Indie / Global,,,,0
1714,"陳小春, 鄭伊健, 謝天華 & 林曉峰",Indie / Global,,,,0
1715,鄭智薰 & Jackson Wang,Indie / Global,,,,0
1716,鄭智薰 & J.Y. Park,Indie / Global,,,,0
1717,謝欣芷,Indie / Global,,,,0
1718,拍謝少年,Indie / Global,,,,0
1719,謝宜君 & 陳隨意,Indie / Global,,,,0
1720,李佳芮,Solo / Group,,,,0
1721,劉品言,Solo / Group,,,,0
1722,蔡亞露 Rubie RT+屁孩 Ryan,Solo / Group,,,,0
1723,田娥,Solo / Group,,,,0
1724,Ayo97+阿涵,Solo / Group,,,,0
1725,王銩銩,Solo / Group,,,,0
1726,曾瑋中,Solo / Group,,,,0
1727,南合文鬥+龐龍,Solo / Group,,,,0
1728,呂志國,Solo / Group,,,,0
1729,柳佳妤,Solo / Group,,,,0
1730,謝子淇,Solo / Group,,,,0
1731,鄭淑靜,Solo / Group,,,,0
1732,楊惠絜+楊博智,Solo / Group,,,,0
1733,鄒壽蘭,Solo / Group,,,,0
1734,蔣新蘭,Solo / Group,,,,0
1735,劉玉英,Solo / Group,,,,0
1736,王壹珊,Solo / Group,,,,0
1737,陳慶,Solo / Group,,,,0
1738,彭莉,Solo / Group,,,,0
1739,羅時豐+林姍,Solo / Group,,,,0
1740,蔡茗淇+許峻榮,Solo / Group,,,,0
1741,高品汝,Solo / Group,,,,0
1742,沈志仲,Solo / Group,,,,0
1743,紀露,Solo / Group,,,,0
1744,陳子賢,Solo / Group,,,,0
1745,溫兆倫,Solo / Group,,,,0
1746,李和興,Solo / Group,,,,0
1747,張凱傑,Solo / Group,,,,0
1748,黃麗夏,Solo / Group,,,,0
1749,陳黎明,Solo / Group,,,,0
1750,小辣椒,Solo / Group,,,,0
1751,周一,Solo / Group,,,,0
1752,周育嬋,Solo / Group,,,,0
1753,許峻榮+蔡茗淇,Solo / Group,,,,0
1754,容祖兒,Solo / Group,,,,0
1755,蔡多多+郭忠祐,Solo / Group,,,,0
1756,鄭琇月,Solo / Group,,,,0
1757,薛朋朋+古文豪+左文正,Solo / Group,,,,0
1758,謝和絃,Solo / Group,,,,0
1759,小高哥,Solo / Group,,,,0
1760,馬智宇,Solo / Group,,,,0
1761,冷漠,Solo / Group,,,,0
1762,S.H.E+飛輪海,Solo / Group,,,,0
1763,宇桐非,Solo / Group,,,,0
1764,南合文鬥,Solo / Group,,,,0
1765,劉小慧,Solo / Group,,,,0
1766,陳夏蓮,Solo / Group,,,,0
1767,邱賢桂,Solo / Group,,,,0
1768,花園精靈,Solo / Group,,,,0
1769,雷諾兒,Solo / Group,,,,0
1770,翁立友,Solo / Group,,,,0
1771,袁小迪+喬幼,Solo / Group,,,,0
1772,S+H+E+飛輪海,Solo / Group,,,,0
1773,鄭進一,Solo / Group,,,,0
1774,郭頂,Indie / Global,,,,0
1775,郭家瑋 & DIOR 大穎,Indie / Global,,,,0
1776,郭美美Jocie,Indie / Global,,,,0
1777,郭家瑋,Indie / Global,,,,0
1778,維京格・歐拉夫森,Indie / Global,,,,0
1779,郭明龍,Indie / Global,,,,0
1780,郭一凡,Indie / Global,,,,0
1781,格倫・顧爾德,Indie / Global,,,,0
1782,王OK & 洪佩瑜,Indie / Global,,,,0
1783,張洪量 & 莫文蔚,Indie / Global,,,,0
1784,莫文蔚 & 張洪量,Indie / Global,,,,0
1785,柯智棠,Indie / Global,,,,0
1786,洪大光,Indie / Global,,,,0
1787,李洪基 & Yoo Hwe Seung,Indie / Global,,,,0
1788,張洪量,Indie / Global,,,,0
1789,洪暐哲WAJI,Indie / Global,,,,0
1790,李洪基,Indie / Global,,,,0
1791,LINION,Indie / Global,,,,0
1792,曾沛慈,Indie / Global,,,,0
1793,阿涵 & Ayo97,Indie / Global,,,,0
1794,王佳楊,Indie / Global,,,,0
1795,睡眠寶寶貴族音樂,Indie / Global,,,,0
1796,曾沛慈 & 東城衞,Indie / Global,,,,0
1797,滅火器,Indie / Global,,,,0
1798,孟維來,Indie / Global,,,,0
1799,葉斯淳,Indie / Global,,,,0
1800,Ayo97 & 阿涵,Indie / Global,,,,0
1801,曾之喬,Indie / Global,,,,0
1802,康士坦的變化球,Indie / Global,,,,0
1803,曾靜玟,Indie / Global,,,,0
1804,曾昱嘉,Indie / Global,,,,0
1805,VH (Vast & Hazy) & 持修,Indie / Global,,,,0
1806,李耀陽,Indie / Global,,,,0
1807,馮陳思楠+錢雨童,Solo / Group,,,,0
1808,蘇效音,Solo / Group,,,,0
1809,張遠+陸虎,Solo / Group,,,,0
1810,潘嘉怡,Solo / Group,,,,0
1811,葉筱萱,Solo / Group,,,,0
1812,糖七七,Solo / Group,,,,0
1813,楊寶貝,Solo / Group,,,,0
1814,高安+郭玲,Solo / Group,,,,0
1815,張冬玲,Solo / Group,,,,0
1816,好多倩,Solo / Group,,,,0
1817,謎路人,Solo / Group,,,,0
1818,陳布朗,Solo / Group,,,,0
1819,胡彥斌+李巍V仔,Solo / Group,,,,0
1820,詩雨,Solo / Group,,,,0
1821,原田悠里,Solo / Group,,,,0
1822,橋幸夫,Solo / Group,,,,0
1823,石衛,Solo / Group,,,,0
1824,潘美辰,Solo / Group,,,,0
1825,李易峰,Solo / Group,,,,0
1826,胡泉雄,Solo / Group,,,,0
1827,潘越雲,Solo / Group,,,,0
1828,林蒙,Solo / Group,,,,0
1829,魏嘉瑩+琳誼,Solo / Group,,,,0
1830,張學友+何如惠,Solo / Group,,,,0
1831,成鳳,Solo / Group,,,,0
1832,李菓,Solo / Group,,,,0
1833,李琳,Solo / Group,,,,0
1834,李明翰,Solo / Group,,,,0
1835,金智娟,Solo / Group,,,,0
1836,劉鈺華+林漢陽,Solo / Group,,,,0
1837,麥德羅,Solo / Group,,,,0
1838,白小白,Solo / Group,,,,0
1839,馬浚偉,Solo / Group,,,,0
1840,蔣志光,Solo / Group,,,,0
1841,南西肯恩,Solo / Group,,,,0
1842,陳雅森,Solo / Group,,,,0
1843,譚詠麟+李克勤,Solo / Group,,,,0
1844,王錚亮,Solo / Group,,,,0
1845,鄭源,Solo / Group,,,,0
1846,冷顯達,Solo / Group,,,,0
1847,蔣志光+韋綺珊,Solo / Group,,,,0
1848,衛蘭,Solo / Group,,,,0
1849,齊秦+王雪娥,Solo / Group,,,,0
1850,韓小欠,Solo / Group,,,,0
1851,邱振哲,Indie / Global,,,,0
1852,邱軍,Indie / Global,,,,0
1853,文慧如,Indie / Global,,,,0
1854,邱鋒澤 Feng Ze & 艾薇,Indie / Global,,,,0
1855,邱鋒澤 Feng Ze & 采子,Indie / Global,,,,0
1856,邱鋒澤 Feng Ze & 陳零九,Indie / Global,,,,0
1857,邱勝翊,Indie / Global,,,,0
1858,廖士賢,Indie / Global,,,,0
1859,廖俊濤,Indie / Global,,,,0
1860,廖柏雅,Indie / Global,,,,0
1861,郑雅文 & 廖羚君,Indie / Global,,,,0
1862,廖柏雅 & ERIKA,Indie / Global,,,,0
1863,廖柏雅 & 王品怡,Indie / Global,,,,0
1864,廖文強,Indie / Global,,,,0
1865,IVAN 艾文,Indie / Global,,,,0
1866,廖野天,Indie / Global,,,,0
1867,廖文強與壞神經樂團 & 廖文強,Indie / Global,,,,0
1868,王品怡 & 廖柏雅,Indie / Global,,,,0
1869,"廖國敏, 安妮 · 奎芙蕾克 & 巴黎室內管弦樂團",Indie / Global,,,,0
1870,"廖欣彤, 苗其瑋 & 吳妤儒",Indie / Global,,,,0
1871,褚治軒,Indie / Global,,,,0
1872,廖晶,Indie / Global,,,,0
1873,廖婉君,Indie / Global,,,,0
1874,廖婉君 & 楊哲,Indie / Global,,,,0
1875,廖允杰,Indie / Global,,,,0
1876,鍾易軒 & 廖俊濤,Indie / Global,,,,0
1877,王子慧 & 廖俊濤,Indie / Global,,,,0
1878,廖珏妮,Indie / Global,,,,0
1879,胡66,Indie / Global,,,,0
1880,Morris賴仔,Indie / Global,,,,0
1881,賴慈泓,Indie / Global,,,,0
1882,賴銘偉,Indie / Global,,,,0
1883,雷恩·葛斯林 & 艾瑪·史東,Indie / Global,,,,0
1884,雷恩·葛斯林,Indie / Global,,,,0
1885,賴美雲,Indie / Global,,,,0
1886,賴晏駒 小賴,Indie / Global,,,,0
1887,DIOR 大穎,Indie / Global,,,,0
1888,賴仔,Indie / Global,,,,0
1889,邱鋒澤 Feng Ze & 賴晏駒 小賴,Indie / Global,,,,0
1890,賴芊予,Indie / Global,,,,0
1891,馬念先 & 9m88,Indie / Global,,,,0
1892,鄭智鋒,Solo / Group,,,,0
1893,解語花,Solo / Group,,,,0
1894,琳娜,Solo / Group,,,,0
1895,歐禮全,Solo / Group,,,,0
1896,鄭日清,Solo / Group,,,,0
1897,夏天Alex,Solo / Group,,,,0
1898,祁隆+李舒彤,Solo / Group,,,,0
1899,趙又廷+COLORBAND,Solo / Group,,,,0
1900,狄鶯,Solo / Group,,,,0
1901,趙又廷+COLOR BAND,Solo / Group,,,,0
1902,趙又廷+COLOR_BAND,Solo / Group,,,,0
1903,周杰倫 & 五月天 阿信,Indie / Global,,,,0
1904,Not yet,Solo / Group,,,,0
1905,重音テト & Erle Ås,Indie / Global,,,,0
1906,紓壓博士,Indie / Global,,,,0
1907,葉雨岑,Indie / Global,,,,0
1908,張葉蕾,Indie / Global,,,,0
1909,朱主愛,Indie / Global,,,,0
1910,葉炫清 & 張遠,Indie / Global,,,,0
1911,RADWIMPS,Indie / Global,,,,0
1912,秦基博,Indie / Global,,,,0
1913,葉里 & 伊格賽聽,Indie / Global,,,,0
1914,"胡期皓, 葉瓊琳 & 董唧唧",Indie / Global,,,,0
1915,胡彥斌 & 葉炫清,Indie / Global,,,,0
1916,蓋布莉葉拉・蒙泰羅,Indie / Global,,,,0
1917,餘昭源 & 葉里,Indie / Global,,,,0
1918,隊長 & 葉瓊琳,Indie / Global,,,,0
1919,佐夢圓 & 葉雨岑,Indie / Global,,,,0
1920,Tani Yuuki,Indie / Global,,,,0
1921,愛繆,Indie / Global,,,,0
1922,Bunnyi_11,Solo / Group,,,,0
1923,林琇琪,Solo / Group,,,,0
1924,戴梅君,Solo / Group,,,,0
1925,葉雲安+黃暄媗,Solo / Group,,,,0
1926,張維祐,Solo / Group,,,,0
1927,上明,Solo / Group,,,,0
1928,鄔兆邦+董育君,Solo / Group,,,,0
1929,蔡姍燕,Solo / Group,,,,0
1930,卓依婷,Solo / Group,,,,0
1931,吳艾媄,Solo / Group,,,,0
1932,蘇錦煌+林鈺茹,Solo / Group,,,,0
1933,桂銀淑,Solo / Group,,,,0
1934,羅富木,Solo / Group,,,,0
1935,細川たかし,Solo / Group,,,,0
1936,姚蘇蓉,Solo / Group,,,,0
1937,松平晃・伏見信子,Solo / Group,,,,0
1938,三浦洸一,Solo / Group,,,,0
1939,林郁芳,Solo / Group,,,,0
1940,玉蓉,Solo / Group,,,,0
1941,泰岩,Solo / Group,,,,0
1942,洪弟七+尤美,Solo / Group,,,,0
1943,劉家昌,Solo / Group,,,,0
1944,張蓉蓉,Solo / Group,,,,0
1945,吳琇麗,Solo / Group,,,,0
1946,揚哲+江慧儀,Solo / Group,,,,0
1947,汪蘇瀧 & 趙露思,Indie / Global,,,,0
1948,汪蘇瀧 & By2,Indie / Global,,,,0
1949,汪蘇瀧 & 單依純,Indie / Global,,,,0
1950,蘇星婕,Indie / Global,,,,0
1951,汪蘇瀧 & 張碧晨,Indie / Global,,,,0
1952,提琴雙傑,Indie / Global,,,,0
1953,楊和蘇KeyNG,Indie / Global,,,,0
1954,蘇宥蓉,Indie / Global,,,,0
1955,"In K, 蘇星婕 & 王忻辰",Indie / Global,,,,0
1956,霧島  昇+渡辺はま子,Solo / Group,,,,0
1957,懸掛收音機,Solo / Group,,,,0
1958,二手玫瑰,Solo / Group,,,,0
1959,邱玉春,Solo / Group,,,,0
1960,林世芳,Solo / Group,,,,0
1961,葉佳修,Solo / Group,,,,0
1962,周璇,Solo / Group,,,,0
1963,二手玫瑰樂隊,Solo / Group,,,,0
1964,霧島昇+渡边はま子,Solo / Group,,,,0
1965,渡邊はま子+霧島昇,Solo / Group,,,,0
1966,渡辺はま子,Solo / Group,,,,0
1967,小球 (莊鵑瑛),Indie / Global,,,,0
1968,芒果醬,Indie / Global,,,,0
1969,Alessia Cara,Indie / Global,,,,0
1970,Auli'i Cravalho,Indie / Global,,,,0
1971,巨石·強森,Indie / Global,,,,0
1972,Opetaia Foa'i & 林・曼努爾・米蘭達,Indie / Global,,,,0
1973,莊凌芸,Indie / Global,,,,0
1974,張秀卿 & 莊振凱,Indie / Global,,,,0
1975,莊淇玟29,Indie / Global,,,,0
1976,傑梅奈克萊門特,Indie / Global,,,,0
1977,"陳昊宇, 莊達菲, 周彥辰, 郭欣禹 & 王漪淼",Indie / Global,,,,0
1978,楊靜 & 莊振凱,Indie / Global,,,,0
1979,凌一惠,Solo / Group,,,,0
1980,蔡佳育+楊嘉圓等,Solo / Group,,,,0
1981,林財寶,Solo / Group,,,,0
1982,溫金龍,Solo / Group,,,,0
1983,林展逸,Solo / Group,,,,0
1984,林展逸+楊咩咩,Solo / Group,,,,0
1985,林辰陽,Solo / Group,,,,0
1986,陳小雲,Solo / Group,,,,0
1987,溫瑞鴛,Solo / Group,,,,0
1988,黃西田,Solo / Group,,,,0
1989,玖壹壹+LuLu,Solo / Group,,,,0
1990,江蕙 & 阿杜,Indie / Global,,,,0
1991,江語晨,Indie / Global,,,,0
1992,王建傑 & 江蕙,Indie / Global,,,,0
1993,江蕙 & 江淑娜,Indie / Global,,,,0
1994,江靜,Indie / Global,,,,0
1995,江蕙 & 施文彬,Indie / Global,,,,0
1996,歐巴尚青,Solo / Group,,,,0
1997,兒歌,Solo / Group,,,,0
1998,姜鵬,Solo / Group,,,,0
1999,東方神話,Solo / Group,,,,0
2000,要不要買菜,Solo / Group,,,,0
2001,斯琴格日樂,Solo / Group,,,,0
2002,汪蘇瀧+周延,Solo / Group,,,,0
2003,楊洪基,Solo / Group,,,,0
2004,徐珮琪,Solo / Group,,,,0
2005,羅筱雲,Solo / Group,,,,0
2006,蕭佩茹,Solo / Group,,,,0
2007,聞人聽書,Solo / Group,,,,0
2008,鐘家華,Solo / Group,,,,0
2009,陶鈺玉,Solo / Group,,,,0
2010,阿涵,Solo / Group,,,,0
2011,音羽しのぶ,Solo / Group,,,,0
2012,楊樹人,Solo / Group,,,,0
2013,小沈陽,Solo / Group,,,,0
2014,林一第,Solo / Group,,,,0
2015,空想之喵,Solo / Group,,,,0
2016,鄭君威,Solo / Group,,,,0
2017,羅維,Solo / Group,,,,0
2018,山本讓二,Solo / Group,,,,0
2019,Sadiya,Solo / Group,,,,0
2020,代小波+顧曉宇,Solo / Group,,,,0
2021,沈殿霞,Solo / Group,,,,0
2022,周厚光,Solo / Group,,,,0
2023,高勝美,Solo / Group,,,,0
2024,長山洋子,Solo / Group,,,,0
2025,謝順福,Solo / Group,,,,0
2026,王秋實,Solo / Group,,,,0
2027,曲肖冰,Solo / Group,,,,0
2028,鍾心,Solo / Group,,,,0
2029,崔來賓,Solo / Group,,,,0
2030,鄭源+儲蘭蘭,Solo / Group,,,,0
2031,吳鶯音,Solo / Group,,,,0
2032,劉維維,Solo / Group,,,,0
2033,許冠傑,Solo / Group,,,,0
2034,J.Sheon,Indie / Global,,,,0
2035,TANK 呂建忠,Indie / Global,,,,0
2036,鼓鼓 呂思緯,Indie / Global,,,,0
2037,呂口口,Indie / Global,,,,0
2038,呂允,Indie / Global,,,,0
